"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2979","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2981","NA","NA","NA","NA","NA","NA","NA","2980","2979","2980","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","1","1","NA","1","1","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","3","NA","0","1","NA","NA","NA","NA","0","0","0","0","NA","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","NA","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","NA","NA","NA","NA","NA","NA","NA","2979","3075","3079","NA","NA","NA","NA","NA","NA","NA","NA","3083","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","1","1","NA","1","1","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","3","NA","0","1","NA","NA","NA","NA","0","0","0","0","NA","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","NA","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","NA","NA","NA","NA","NA","NA","NA","2979","3075","3079","NA","NA","NA","NA","NA","NA","NA","NA","3141","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member1]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","59530","NA","NA","NA","NA","NA","NA","2979","3075","3079","53437","NA","NA","3528","3197","3170","3197","3528","59530","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","6996","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","6","0","0","1","0","0","0","0","0","0","0","0","1","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member2]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","75184","NA","NA","NA","NA","NA","NA","2979","3075","3079","71911","NA","NA","3528","3197","3170","3197","59797","75184","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","59797","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","2","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member3]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","81741","NA","NA","NA","NA","NA","NA","2979","3075","3079","78535","NA","NA","3528","3197","3170","3197","75443","81741","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","75443","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","8","0","0","1","0","0","0","0","0","0","0","0","3","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","Not sure","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member4]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","108613","NA","NA","NA","NA","NA","NA","2979","3075","3079","105725","NA","NA","3528","3197","3170","3197","82007","108613","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","82007","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","9","0","0","1","0","0","0","0","0","0","0","0","4","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member5]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","125705","NA","NA","NA","NA","NA","NA","2979","3075","3079","122429","NA","NA","3528","3197","3170","3197","108872","125705","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","108872","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","10","0","0","1","0","0","0","0","0","0","0","0","5","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member6]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","NA","3083","NA","NA","137819","NA","NA","NA","NA","NA","NA","2979","3075","3079","135141","NA","NA","3528","3197","3170","3197","125966","137819","NA","3079","3083","NA","NA","NA","NA","2980","2979","2980","NA","125966","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","10","0","0","1","0","0","0","0","0","0","0","0","5","11/10/18 11:19:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24","no","mono","no","24","no","black","no","yes","male","768","No","No","no","No","legacy","no","5","0","C:/Users/standalone/Desktop/Sat 10 Nov HS 1.24/subject-143.csv","[member6]","3","2","5","7","4","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","143","odd","legacy","[target1]","absent","present","3083","NA","146838","3083","NA","NA","137819","146838","NA","158548","NA","NA","NA","2979","3075","3079","135141","NA","NA","3528","3197","3170","3197","125966","158548","137858","3079","3083","NA","151209","NA","NA","2980","2979","2980","NA","125966","lineup1","no","6","no","1366"
