"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","NA","present","absent","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2474","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2476","NA","NA","NA","NA","NA","NA","NA","2476","2475","2476","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","NA","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","NA","NA","NA","NA","NA","NA","NA","NA","2474","2549","2552","NA","NA","NA","NA","NA","NA","NA","NA","2555","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member1]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","NA","25009","NA","NA","NA","NA","NA","NA","2474","2549","2552","21311","NA","NA","2940","2616","2593","2616","2940","25009","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","14669","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member2]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","NA","29135","NA","NA","NA","NA","NA","NA","2474","2549","2552","26418","NA","NA","2940","2616","2593","2616","25278","29135","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","25278","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","90","relative","0","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","Yes","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member3]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","42914","36656","NA","NA","NA","NA","36656","NA","2474","2549","2552","31239","NA","NA","2940","2616","2593","2616","29413","42915","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","29413","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member4]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","42914","47324","NA","NA","NA","NA","36656","NA","2474","2549","2552","44604","NA","NA","2940","2616","2593","2616","43193","47325","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","43193","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member5]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","42914","50380","NA","NA","NA","NA","36656","NA","2474","2549","2552","48374","NA","NA","2940","2616","2593","2616","47646","50380","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","47647","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member6]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","NA","NA","2555","42914","53314","NA","NA","NA","NA","36656","NA","2474","2549","2552","51509","NA","NA","2940","2616","2593","2616","50646","53314","NA","2552","2554","NA","NA","NA","NA","2476","2475","2476","NA","50646","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","male","768","No","Yes","One","No","legacy","no","5","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member6]","5","4","6","1","3","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target1]","present","absent","NA","2555","60830","NA","2555","42914","53314","57438","60830","74035","NA","36656","NA","2474","2549","2552","51509","NA","NA","2940","2616","2593","2616","50646","74036","53370","2552","2554","57438","67233","NA","NA","2476","2475","2476","NA","50646","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","1","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","10","0","1","1","0","0","0","0","0","0","0","0","5","10/06/18 13:41:26","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/H&S/VIPER recordings","no","mono","no","24","no","black","no","yes","female","768","No","Yes","One","No","legacy","no","0","0","C:/Users/standalone/Desktop/H&S/VIPER recordings/subject-132.csv","[member6]","4","5","2","7","3","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","132","even","legacy","[target2]","present","absent","74111","2555","60830","74111","2555","42914","53314","57438","60830","74035","NA","36656","NA","2474","2549","74109","51509","NA","NA","2940","2616","2593","2616","50646","74111","53370","74109","74111","57438","67233","NA","NA","2476","2475","2476","NA","50646","lineup1","no","6","no","1366"
