_prepare,background,bidi,canvas_backend,clock_backend,color_backend,compensation,confidence_immediate,coordinates,count_TA_sequence_setting,count_TP_sequence_setting,count_admin_check,count_check_TA,count_check_TP,count_check_confidence_imm,count_check_identification,count_check_made_identification,count_check_multiple_identification,count_check_proceeding_identification,count_confidence_imm,count_end_of_experiment,count_experiment,count_gender_lineup_loop,count_gender_randomization_sequence,count_identification_task,count_instructions_after_multiple,count_instructions_after_proceed_identification,count_instructions_before_view,count_lineup_loop,count_lineup_procedure_loop,count_lineup_procedure_sequence,count_lineup_sequence,count_logger,count_made_identification,count_member_randomization_loop,count_member_randomization_sequence,count_multiple_identification,count_proceed_identification,count_repeat_lineup_sequence_identification,count_repeat_lineup_sequence_multiple,count_target_setting,count_target_setting_loop,count_target_setting_sequence,count_video,datetime,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gender,height,identification,identification_made,identification_multiple,identification_proceed,keyboard_backend,live_row,live_row_target_setting_loop,logfile,member,member1,member2,member3,member4,member5,member6,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,target,target1,target2,time_TA_sequence_setting,time_TP_sequence_setting,time_admin_check,time_check_TA,time_check_TP,time_check_confidence_imm,time_check_identification,time_check_made_identification,time_check_multiple_identification,time_check_proceeding_identification,time_confidence_imm,time_end_of_experiment,time_experiment,time_gender_lineup_loop,time_gender_randomization_sequence,time_identification_task,time_instructions_after_multiple,time_instructions_after_proceed_identification,time_instructions_before_view,time_lineup_loop,time_lineup_procedure_loop,time_lineup_procedure_sequence,time_lineup_sequence,time_logger,time_made_identification,time_member_randomization_loop,time_member_randomization_sequence,time_multiple_identification,time_proceed_identification,time_repeat_lineup_sequence_identification,time_repeat_lineup_sequence_multiple,time_target_setting,time_target_setting_loop,time_target_setting_sequence,time_video,title,transparent_variables,trial,uniform_coordinates,width
,white,no,xpyriment,legacy,legacy,0,NA,relative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,NA,768,NA,NA,NA,NA,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,NA,NA,NA,NA,NA,NA,NA,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,NA,absent,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2640,NA,NA,NA,NA,NA,NA,NA,2640,2638,2640,NA,lineup1,no,NA,no,1366
,white,no,xpyriment,legacy,legacy,0,NA,relative,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,2,NA,0,0,NA,NA,NA,NA,0,0,0,NA,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,NA,NA,NA,NA,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,NA,1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,NA,NA,NA,NA,NA,NA,2638,2703,2707,NA,NA,NA,NA,NA,NA,NA,NA,2709,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,NA,lineup1,no,NA,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member1],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,58483,NA,NA,NA,NA,NA,2638,2703,2707,53947,NA,NA,3155,2787,2757,2787,3155,58483,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,48931,lineup1,no,1,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,1,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member2],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,63078,NA,NA,NA,NA,NA,2638,2703,2707,60548,NA,NA,3155,2787,2757,2787,58761,63078,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,58761,lineup1,no,2,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,2,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member3],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,70263,NA,NA,NA,NA,NA,2638,2703,2707,67666,NA,NA,3155,2787,2757,2787,63356,70263,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,63356,lineup1,no,3,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,3,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,3,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member4],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,75698,NA,NA,NA,NA,NA,2638,2703,2707,73160,NA,NA,3155,2787,2757,2787,70534,75698,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,70534,lineup1,no,4,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,4,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,4,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member5],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,81988,NA,NA,NA,NA,NA,2638,2703,2707,79444,NA,NA,3155,2787,2757,2787,75979,81988,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,75979,lineup1,no,5,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,5,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,no,no,no,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member6],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,NA,NA,2709,NA,88440,NA,NA,NA,NA,NA,2638,2703,2707,85880,NA,NA,3155,2787,2757,2787,82276,88440,NA,2707,2709,NA,NA,NA,NA,2640,2638,2640,82276,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,5,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,female,768,No,No,no,No,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member6],1,5,3,4,6,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target2],absent,present,NA,2709,91994,NA,2709,NA,88440,91994,NA,103480,NA,NA,2638,2703,2707,85880,NA,NA,3155,2787,2757,2787,82276,103480,88490,2707,2709,NA,95459,NA,NA,2640,2638,2640,82276,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,1,1,0,1,1,5,5,0,0,0,5,0,0,0,1,5,0,0,5,0,1,0,5,10,0,1,1,0,0,0,0,0,0,0,5,02/07/2018 14:53,Executes Python code,yes,,lineup_videoVIPER_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/H&S,no,mono,no,24,no,black,no,yes,male,768,No,No,no,No,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/H&S/subject-59.csv,[member6],2,3,7,5,4,1,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,59,even,legacy,[target1],absent,present,103656,2709,91994,103656,2709,NA,88440,91994,NA,103480,NA,NA,2638,2703,103654,85880,NA,NA,3155,2787,2757,2787,82276,103657,88490,103654,103656,NA,95459,NA,NA,2640,2638,2640,82276,lineup1,no,6,no,1366
