"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2629","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2631","NA","NA","NA","NA","NA","NA","NA","2630","2629","2630","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","NA","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","NA","NA","NA","NA","NA","NA","NA","NA","2629","2695","2699","NA","NA","NA","NA","NA","NA","NA","NA","2701","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member1]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","NA","68130","NA","NA","NA","NA","NA","NA","2629","2695","2699","64211","NA","NA","3198","2772","2746","2772","3198","68130","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","45330","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member2]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","NA","86515","NA","NA","NA","NA","NA","NA","2629","2695","2699","83553","NA","NA","3198","2772","2746","2772","68467","86515","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","68468","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","Not sure","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member3]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","NA","105878","NA","NA","NA","NA","NA","NA","2629","2695","2699","103296","NA","NA","3198","2772","2746","2772","86842","105878","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","86842","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","70","relative","0","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","Yes","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member4]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","124903","117417","NA","NA","NA","NA","117417","NA","2629","2695","2699","115216","NA","NA","3198","2772","2746","2772","106201","124903","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","106202","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member5]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","124903","140122","NA","NA","NA","NA","117417","NA","2629","2695","2699","136795","NA","NA","3198","2772","2746","2772","125241","140122","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","125241","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member6]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","NA","NA","2701","124903","153244","NA","NA","NA","NA","117417","NA","2629","2695","2699","151047","NA","NA","3198","2772","2746","2772","140474","153244","NA","2699","2701","NA","NA","NA","NA","2630","2629","2630","NA","140474","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","female","768","No","Yes","One","No","legacy","no","5","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member6]","3","1","2","6","5","4","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target2]","absent","present","NA","2701","160643","NA","2701","124903","153244","156491","160643","171829","NA","117417","NA","2629","2695","2699","151047","NA","NA","3198","2772","2746","2772","140474","171829","153284","2699","2701","156491","168686","NA","NA","2630","2629","2630","NA","140474","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","3","3","0","3","3","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","12","0","1","3","0","0","0","0","0","0","0","0","5","10/06/18 12:36:14","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/FB/fb recordings","no","mono","no","24","no","black","no","yes","male","768","No","Yes","One","No","legacy","no","0","0","C:/Users/standalone/Desktop/FB/fb recordings/subject-89.csv","[member6]","4","3","1","5","7","2","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","89","odd","legacy","[target1]","absent","present","171909","2701","160643","171909","2701","124903","153244","156491","160643","171829","NA","117417","NA","2629","2695","171902","151047","NA","NA","3198","2772","2746","2772","140474","171909","153284","171902","171909","156491","168686","NA","NA","2630","2629","2630","NA","140474","lineup1","no","6","no","1366"
