"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TA","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TA","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2674","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2676","NA","NA","NA","NA","NA","NA","NA","2676","2675","2676","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","NA","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","NA","NA","NA","NA","NA","NA","NA","2674","2734","2737","NA","NA","NA","NA","NA","NA","NA","NA","2739","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member1]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","77783","NA","NA","NA","NA","NA","NA","2674","2734","2737","74729","NA","NA","3893","2807","2785","2807","3893","77783","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","46683","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member2]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","83327","NA","NA","NA","NA","NA","NA","2674","2734","2737","80734","NA","NA","3893","2807","2785","2807","78751","83327","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","78751","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member3]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","88533","NA","NA","NA","NA","NA","NA","2674","2734","2737","86133","NA","NA","3893","2807","2785","2807","84321","88533","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","84321","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member4]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","94004","NA","NA","NA","NA","NA","NA","2674","2734","2737","91236","NA","NA","3893","2807","2785","2807","89554","94005","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","89554","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member5]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","98604","NA","NA","NA","NA","NA","NA","2674","2734","2737","96410","NA","NA","3893","2807","2785","2807","94999","98605","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","94999","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member6]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","NA","2739","NA","NA","103385","NA","NA","NA","NA","NA","NA","2674","2734","2737","100813","NA","NA","3893","2807","2785","2807","99608","103386","NA","2737","2739","NA","NA","NA","NA","2676","2675","2676","NA","99608","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","male","768","No","No","no","No","legacy","no","5","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member6]","2","4","3","1","7","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target1]","absent","present","2739","NA","107024","2739","NA","NA","103385","107023","NA","116383","NA","NA","NA","2674","2734","2737","100813","NA","NA","3893","2807","2785","2807","99608","116383","103446","2737","2739","NA","111020","NA","NA","2676","2675","2676","NA","99608","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","2","2","0","2","2","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","11","0","1","2","0","0","0","0","0","0","0","0","5","12/02/17 14:13:08","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/1.27 - Full Body Video","no","mono","no","24","no","black","no","yes","female","768","No","No","no","No","legacy","no","0","0","C:/Users/standalone/Desktop/1.27 - Full Body Video/subject-49.csv","[member6]","3","1","6","2","4","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","49","odd","legacy","[target2]","absent","present","2739","116451","107024","2739","116451","NA","103385","107023","NA","116383","NA","NA","NA","2674","2734","116447","100813","NA","NA","3893","2807","2785","2807","99608","116451","103446","116447","116450","NA","111020","NA","NA","2676","2675","2676","NA","99608","lineup1","no","6","no","1366"
